Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Bangladesh,BGD,1950,41206858
Bangladesh,BGD,1951,42022310
Bangladesh,BGD,1952,42893013
Bangladesh,BGD,1953,43791389
Bangladesh,BGD,1954,44741297
Bangladesh,BGD,1955,45767687
Bangladesh,BGD,1956,46854418
Bangladesh,BGD,1957,48004665
Bangladesh,BGD,1958,49184052
Bangladesh,BGD,1959,50441766
Bangladesh,BGD,1960,51828663
Bangladesh,BGD,1961,53310344
Bangladesh,BGD,1962,54881155
Bangladesh,BGD,1963,56504405
Bangladesh,BGD,1964,58178373
Bangladesh,BGD,1965,59902521
Bangladesh,BGD,1966,61669811
Bangladesh,BGD,1967,63510933
Bangladesh,BGD,1968,65408278
Bangladesh,BGD,1969,67294130
Bangladesh,BGD,1970,69058900
Bangladesh,BGD,1971,70276759
Bangladesh,BGD,1972,71641525
Bangladesh,BGD,1973,73722297
Bangladesh,BGD,1974,75839350
Bangladesh,BGD,1975,77854353
Bangladesh,BGD,1976,79855319
Bangladesh,BGD,1977,81867267
Bangladesh,BGD,1978,83889659
Bangladesh,BGD,1979,85935069
Bangladesh,BGD,1980,88016436
Bangladesh,BGD,1981,90303105
Bangladesh,BGD,1982,92814506
Bangladesh,BGD,1983,95335162
Bangladesh,BGD,1984,97814966
Bangladesh,BGD,1985,100253825
Bangladesh,BGD,1986,102635570
Bangladesh,BGD,1987,104959291
Bangladesh,BGD,1988,107216011
Bangladesh,BGD,1989,109433805
Bangladesh,BGD,1990,111633723
Bangladesh,BGD,1991,113787112
Bangladesh,BGD,1992,115952198
Bangladesh,BGD,1993,118132363
Bangladesh,BGD,1994,120343183
Bangladesh,BGD,1995,122600371
Bangladesh,BGD,1996,124862185
Bangladesh,BGD,1997,127198069
Bangladesh,BGD,1998,129622333
Bangladesh,BGD,1999,132108064
Bangladesh,BGD,2000,134544303
Bangladesh,BGD,2001,136805812
Bangladesh,BGD,2002,138933659
Bangladesh,BGD,2003,140970356
Bangladesh,BGD,2004,142902855
Bangladesh,BGD,2005,144715789
Bangladesh,BGD,2006,146405982
Bangladesh,BGD,2007,147989283
Bangladesh,BGD,2008,149474264
Bangladesh,BGD,2009,150873716
Bangladesh,BGD,2010,152201977
Bangladesh,BGD,2011,153591075
Bangladesh,BGD,2012,155070111
Bangladesh,BGD,2013,156532135
Bangladesh,BGD,2014,157964931
Bangladesh,BGD,2015,159383180
Bangladesh,BGD,2016,160811935
Bangladesh,BGD,2017,162186147
Bangladesh,BGD,2018,163523108
Bangladesh,BGD,2019,164913060
Bangladesh,BGD,2020,166298024
Bangladesh,BGD,2021,167658855
Bangladesh,BGD,2022,169384890
Bangladesh,BGD,2023,171466986
Brazil,BRA,1950,53408551
Brazil,BRA,1951,55018849
Brazil,BRA,1952,56694871
Brazil,BRA,1953,58433756
Brazil,BRA,1954,60235123
Brazil,BRA,1955,62101394
Brazil,BRA,1956,64033997
